學院,系所,年級,編號,班別,科目名稱,科目名稱_中文,科目名稱_英文,任課教授,上課時數,正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制,課程大綱,備註
文學院,中國文學研究所,1,1105041,01,論文寫作指導Academic Writing Seminar ,論文寫作指導,Academic Writing Seminar ,張書豪 ,1,1/0/0,1,必修, 二8,文學院201,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1105041_01,
文學院,中國文學研究所,1,1105393,01,近代音專題研究Seminar on Early Modern Chinese Phonology ,近代音專題研究,Seminar on Early Modern Chinese Phonology ,曾若涵 ,3,3/0/0,3,選修," 四3,4,5",文學院201,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1105393_01,
文學院,中國文學研究所,1,1105493,01,經學史研究Study of History of Chinese Classical Canons ,經學史研究,Study of History of Chinese Classical Canons ,張書豪 ,3,3/0/0,3,選修," 三4,5,6",文學院202,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1105493_01,
文學院,中國文學研究所,1,1105723,01,傳統戲曲專題研究Seminar of Traditional Opera ,傳統戲曲專題研究,Seminar of Traditional Opera ,王瓊玲 ,3,3/0/0,3,選修," 一10,11,12",文學院202,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1105723_01,
文學院,中國文學研究所,1,1105755,01,物質文化專題研究Topics on Material Culture ,物質文化專題研究,Topics on Material Culture ,毛文芳 ,3,3/0/0,3,選修," 二4,5,6",文學院201,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1105755_01,
文學院,中國文學研究所,1,1105917,01,"地方體驗、敘事應用與數位化—地方知識與紀錄片製作Local Experience, Narrative Application and Digitization- Local Knowledge and Documentary Making ",地方體驗、敘事應用與數位化—地方知識與紀錄片製作,"Local Experience, Narrative Application and Digitization- Local Knowledge and Documentary Making ",江寶釵 童信智 ,3,3/0/0,3,選修," 二10,11,12",文學院202,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1105917_01," ,列入「戲劇‧創意‧想像」學分學程科目 ,列入本土語言與文化實踐學分學程科目"
文學院,中國文學研究所,1,1105924,01,現代文學專題：愛慾、傷廢與暴力Studies of Modern Literature: Eros．Disablement．Violence ,現代文學專題：愛慾、傷廢與暴力,Studies of Modern Literature: Eros．Disablement．Violence ,蕭義玲 ,3,3/0/0,3,選修," 一7,8,9",文學院201,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1105924_01,
文學院,中國文學研究所,1,1105970,01,俗文學專題研究Issues in Folklore Studies ,俗文學專題研究,Issues in Folklore Studies ,楊玉君 ,3,3/0/0,3,選修," 四7,8,9",文學院201,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1105970_01,
文學院,中國文學研究所,1,1106198,01,當代新儒家哲學研究Seminar of Contemporary Neo-Confucianism ,當代新儒家哲學研究,Seminar of Contemporary Neo-Confucianism ,賴柯助 ,3,3/0/0,3,選修," 四10,11,12",文學院202,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1106198_01,
文學院,中國文學研究所,1,1106414,01,左傳學專題研究Monographic  Studies  of  Zuo  Zhuan ,左傳學專題研究,Monographic  Studies  of  Zuo  Zhuan ,陳韻 ,3,3/0/0,3,選修," 三7,8,9",文學院202,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1106414_01,
文學院,外國語文研究所,1,1155231,01,文學理論與應用Critical Theory and Practice (全英語授課/English-taught)  ,文學理論與應用 (全英語授課),Critical Theory and Practice (English-taught)  ,羅林 ,3,3/0/0,3,必修," 一7,8,9",文學院354,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1155231_01,
