科目,代碼,班別,限修人數,支援系所,支援年級,支援班別,擋修系所,擋修年級,擋修班別,保留本系名額,篩選原則,支援通識科目,支援通識人數,先修科目,其他備註
華語語法教學設計,1011117,01班,45,無,無,無,無,無,無,0,一次篩選,不支援,0,無,無 &nbsp
華人社會與文化,1012001,01班,45,無,無,無,無,無,無,0,一次篩選,不支援,0,無,無 &nbsp
民眾劇場,1012404,01班,40,無,無,無,無,無,無,0,一次篩選,不支援,0,無,無 &nbsp
音樂劇場的發展與變異,1012417,01班,40,無,無,無,無,無,無,0,一次篩選,不支援,0,無,無 &nbsp
藝術賞析與創作技法表現,1013249,01班,45,無,無,無,無,無,無,0,一次篩選,不支援,0,無,藝術文物學分學程選修課程 &nbsp
亞洲藝術史,1013259,01班,60,無,無,無,無,無,無,0,一次篩選,不支援,0,無,藝術文物學分學程選修課程 &nbsp
詩選及習作（二）,1101212,01班,55,無,無,無,[文學院學士班][文學院碩士班][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,(1101211)詩選及習作（一）(曾經修習)(所有先修條件都必須符合),外系限輔系、雙主修中文系學生修習 &nbsp
語言學概論,1101313,01班,40,無,無,無,無,無,無,0,一次篩選,不支援,0,無,無 &nbsp
國學導讀（二）,1101412,01班,55,無,無,無,[文學院學士班][文學院碩士班][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,(1101411)國學導讀（一）(曾經修習)(所有先修條件都必須符合),外系限輔系、雙主修中文系學生修習 &nbsp
文學概論（二）,1101812,01班,55,無,無,無,[文學院學士班][文學院碩士班][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,(1101811)文學概論（一）(曾經修習)(所有先修條件都必須符合),外系限輔系、雙主修中文系學生修習 &nbsp
